K,ClusterID,Centroid_Latitude,Centroid_Longitude
2,0,-33.454081806626256,147.83690549444785
2,1,-28.576798392306753,118.33608748814898
3,0,-37.17717885264725,144.2764787805032
3,1,-28.576798392306753,118.33608748814898
3,2,-29.8593674173646,151.2745588734289
4,0,-37.323525008351126,144.08094958938938
4,1,-31.473583134503876,116.0236562366781
4,2,-31.140402250676306,151.64210851619762
4,3,-17.333037222174443,141.81578583198257
5,0,-37.376409113037845,143.9582060927396
5,1,-31.473583134503876,116.0236562366781
5,2,-33.78459934050608,150.74403027576275
5,3,-14.733963351859305,132.57062390663754
5,4,-25.79330439180147,151.72951240631002
