Scenario,ClusterID,Facility_Latitude,Facility_Longitude,Total_Weighted_Distance
Cluster_K2,1,-31.920739194861692,115.86200484324661,25333.205894645223
Cluster_K3,0,-37.725575152407345,144.90714914497912,75102.42027939827
Cluster_K3,1,-31.920739194861692,115.86200484324661,25333.205894645223
Cluster_K4,0,-37.72831557548197,144.89033412631022,66860.24337013529
Cluster_K4,3,-17.464842577328607,145.6058190096556,15692.956688260267
Cluster_K4,1,-31.93701233627618,115.85138046842337,8788.758665940133
Cluster_K5,4,-27.465058399425807,153.02698710293234,29105.53259297738
Cluster_K5,0,-37.73495237843929,144.8827888604343,63068.347826371515
Cluster_K5,3,-12.437350849762076,130.88112691738354,1939.3215151948637
Cluster_K5,1,-31.93701233627618,115.85138046842337,8788.758665940133
